country_name,income_group
Afghanistan,Low Income
Albania,Upper Middle Income
Algeria,Upper Middle Income
American Samoa,Upper Middle Income
Andorra,High Income
Angola,Lower Middle Income
Antigua and Barbuda,High Income
Argentina,Upper Middle Income
Armenia,Upper Middle Income
Aruba,High Income
Australia,High Income
Austria,High Income
Azerbaijan,Upper Middle Income
"Bahamas, The",High Income
Bahrain,High Income
Bangladesh,Lower Middle Income
Barbados,High Income
Belarus,Upper Middle Income
Belgium,High Income
Belize,Upper Middle Income
Benin,Low Income
Bermuda,High Income
Bhutan,Lower Middle Income
Bolivia,Lower Middle Income
Bosnia and Herzegovina,Upper Middle Income
Botswana,Upper Middle Income
Brazil,Upper Middle Income
Brunei Darussalam,High Income
Bulgaria,Upper Middle Income
Burkina Faso,Low Income
Burundi,Low Income
Cabo Verde,Lower Middle Income
Cambodia,Lower Middle Income
Cameroon,Lower Middle Income
Canada,High Income
Cayman Islands,High Income
Central African Republic,Low Income
Chad,Low Income
Channel Islands,High Income
Chile,High Income
China,Upper Middle Income
Colombia,Upper Middle Income
Comoros,Lower Middle Income
"Congo, Dem. Rep.",Low Income
"Congo, Rep.",Lower Middle Income
Costa Rica,Upper Middle Income
Cote d'Ivoire,Lower Middle Income
Croatia,High Income
Cuba,Upper Middle Income
Curacao,High Income
Cyprus,High Income
Czech Republic,High Income
Denmark,High Income
Djibouti,Lower Middle Income
Dominica,Upper Middle Income
Dominican Republic,Upper Middle Income
Ecuador,Upper Middle Income
"Egypt, Arab Rep.",Lower Middle Income
El Salvador,Lower Middle Income
Equatorial Guinea,Upper Middle Income
Eritrea,Low Income
Estonia,High Income
Ethiopia,Low Income
Faeroe Islands,High Income
Fiji,Upper Middle Income
Finland,High Income
France,High Income
French Polynesia,High Income
Gabon,Upper Middle Income
"Gambia, The",Low Income
Georgia,Upper Middle Income
Germany,High Income
Ghana,Lower Middle Income
Greece,High Income
Greenland,High Income
Grenada,Upper Middle Income
Guam,High Income
Guatemala,Upper Middle Income
Guinea,Low Income
Guinea-Bissau,Low Income
