region,fecha,casos_nuevos,fallecidos,fallecidos_d,casos_nuevos_d
Arica y Parinacota,2020-03-03,NA,NA,NA,0
Arica y Parinacota,2020-03-04,NA,NA,NA,0
Arica y Parinacota,2020-03-05,0,NA,NA,0
Arica y Parinacota,2020-03-06,0,NA,NA,0
Arica y Parinacota,2020-03-07,0,NA,NA,0
Arica y Parinacota,2020-03-08,0,NA,NA,0
Arica y Parinacota,2020-03-09,0,NA,NA,0
Arica y Parinacota,2020-03-10,0,NA,NA,0
Arica y Parinacota,2020-03-11,0,NA,NA,0
Arica y Parinacota,2020-03-12,0,NA,NA,0
Arica y Parinacota,2020-03-13,0,NA,NA,0
Arica y Parinacota,2020-03-14,0,NA,NA,0
Arica y Parinacota,2020-03-15,0,NA,NA,0
Arica y Parinacota,2020-03-16,0,NA,NA,0
Arica y Parinacota,2020-03-17,0.2,NA,NA,0
Arica y Parinacota,2020-03-18,0.2,NA,NA,0
Arica y Parinacota,2020-03-19,0.2,NA,NA,1
Arica y Parinacota,2020-03-20,0.4,NA,NA,0
Arica y Parinacota,2020-03-21,0.4,NA,NA,0
Arica y Parinacota,2020-03-22,0.2,NA,NA,1
Arica y Parinacota,2020-03-23,0.2,NA,0,0
Arica y Parinacota,2020-03-24,0.4,NA,0,0
Arica y Parinacota,2020-03-25,0.2,0,0,0
Arica y Parinacota,2020-03-26,0.2,0,0,1
Arica y Parinacota,2020-03-27,0.4,0,0,0
Arica y Parinacota,2020-03-28,0.8,0,0,0
Arica y Parinacota,2020-03-29,0.6,0,0,1
Arica y Parinacota,2020-03-30,0.6,0,0,2
Arica y Parinacota,2020-03-31,0.8,0,0,0
Arica y Parinacota,2020-04-01,1.6,0,0,0
Arica y Parinacota,2020-04-02,1.2,0,0,1
Arica y Parinacota,2020-04-03,4.4,0,0,5
Arica y Parinacota,2020-04-04,7,0,0,0
Arica y Parinacota,2020-04-05,9.2,0,0,16
Arica y Parinacota,2020-04-06,10.2,0,0,13
Arica y Parinacota,2020-04-07,12.6,0,0,12
Arica y Parinacota,2020-04-08,11.8,0,0,10
Arica y Parinacota,2020-04-09,13.2,0,0,12
Arica y Parinacota,2020-04-10,12.4,0.2,0,12
Arica y Parinacota,2020-04-11,10.4,0.2,0,20
Arica y Parinacota,2020-04-12,9,0.2,1,8
Arica y Parinacota,2020-04-13,7.4,0.2,0,0
Arica y Parinacota,2020-04-14,4.4,0.2,0,5
Arica y Parinacota,2020-04-15,3.8,0.2,0,4
Arica y Parinacota,2020-04-16,5.4,0.2,0,5
Arica y Parinacota,2020-04-17,5,0.2,1,5
Arica y Parinacota,2020-04-18,7.4,0.2,0,8
Arica y Parinacota,2020-04-19,8.2,0.2,0,3
Arica y Parinacota,2020-04-20,9.2,0,0,16
Arica y Parinacota,2020-04-21,13.6,0,0,9
Arica y Parinacota,2020-04-22,18.8,0.2,0,10
Arica y Parinacota,2020-04-23,16.8,0.2,0,30
Arica y Parinacota,2020-04-24,16.4,0.2,1,29
Arica y Parinacota,2020-04-25,17,0.2,0,6
Arica y Parinacota,2020-04-26,11.6,0.2,0,7
Arica y Parinacota,2020-04-27,6.6,0.2,0,13
Arica y Parinacota,2020-04-28,6.8,0.2,0,3
Arica y Parinacota,2020-04-29,9,0.2,1,4
Arica y Parinacota,2020-04-30,8.4,0.2,0,7
Arica y Parinacota,2020-05-01,8,0.2,0,18
Arica y Parinacota,2020-05-02,7.2,0,0,10
Arica y Parinacota,2020-05-03,7.2,0,0,1
Arica y Parinacota,2020-05-04,4.2,0.2,0,0
