country_name,income_group,region,year,co2_emissions_metric_tons_per_capita,fertility_rate_total_births_per_woman,forest_area_percent_of_land_area,gdp_per_capita_constant_2005_us,health_expenditure_per_capita_ppp_constant_2005_international,labor_force_participation_rate_female_percent_of_female_population_ages_15_modeled_ilo_estimate,life_expectancy_at_birth_total_years,malnutrition_prevalence_weight_for_age_percent_of_children_under_5,population_total,urban_population_percent_of_total,fossil_fuel_energy_consumption_percent_of_total,poverty_headcount_ratio_at_2_a_day_ppp_percent_of_population,public_spending_on_education_total_percent_of_government_expenditure
Afghanistan,Low Income,South Asia,1972,0.13163486548056627,7.671,NA,NA,NA,NA,37.60887804878049,NA,11644377,11.9298,NA,NA,NA
Afghanistan,Low Income,South Asia,1973,0.1369798414754973,7.671,NA,NA,NA,NA,38.06934146341463,NA,11966352,12.3792,NA,NA,NA
Afghanistan,Low Income,South Asia,1974,0.15625755433068517,7.671,NA,NA,NA,NA,38.52329268292683,NA,12273589,12.8286,NA,NA,NA
Afghanistan,Low Income,South Asia,1975,0.16944674823272218,7.671,NA,NA,NA,NA,38.97026829268293,NA,12551790,13.278,NA,NA,NA
Afghanistan,Low Income,South Asia,1976,0.15519196427525667,7.67,NA,NA,NA,NA,39.410731707317076,NA,12806810,13.7574,NA,NA,NA
Afghanistan,Low Income,South Asia,1977,0.18342792873659514,7.67,NA,NA,NA,NA,39.84770731707318,NA,13034460,14.2368,NA,NA,NA
Afghanistan,Low Income,South Asia,1978,0.16363098055190622,7.67,NA,NA,NA,NA,40.29068292682927,NA,13199597,14.7162,NA,NA,NA
Afghanistan,Low Income,South Asia,1979,0.16900621311041122,7.669,NA,NA,NA,NA,40.74817073170732,NA,13257128,15.1956,NA,NA,NA
Afghanistan,Low Income,South Asia,1980,0.13354343268440919,7.669,NA,NA,NA,NA,41.23365853658537,NA,13180431,15.675,NA,NA,NA
Afghanistan,Low Income,South Asia,1981,0.15302988601788303,7.67,NA,NA,NA,NA,41.76063414634146,NA,12963788,15.923400000000001,NA,NA,NA
Afghanistan,Low Income,South Asia,1982,0.16630590825402267,7.671,NA,NA,NA,NA,42.33560975609757,NA,12634494,16.1718,NA,NA,NA
Afghanistan,Low Income,South Asia,1983,0.206086492258409,7.673,NA,NA,NA,NA,42.96304878048781,NA,12241928,16.4202,NA,NA,NA
