continente,anio,ExpVida,pob,gdpPercap
Africa,1952,39.1355,237640501,1252.5724658211539
Africa,1957,41.26634615384615,264837738,1385.2360622557692
Africa,1962,43.319442307692306,296516865,1598.0788248461538
Africa,1967,45.334538461538465,335289489,2050.3638008576922
Africa,1972,47.45094230769231,379879541,2339.615674198077
Africa,1977,49.580423076923076,433061021,2585.9385084634614
Africa,1982,51.592865384615386,499348587,2481.592959753846
Africa,1987,53.344788461538464,574834110,2282.6689912596153
Africa,1992,53.629576923076925,659081517,2281.8103332442306
Africa,1997,53.59826923076923,743832984,2378.759555101923
Africa,2002,53.32523076923077,833723916,2599.3851588903844
Africa,2007,54.80603846153846,929539692,3089.0326047365384
Americas,1952,53.27984,345152446,4079.0625522
Americas,1957,55.96028,386953916,4616.04373316
Americas,1962,58.39876,433270254,4901.5418704
Americas,1967,60.41092,480746623,5668.25349604
Americas,1972,62.39492,529384210,6491.33413904
Americas,1977,64.39156,578067699,7352.00712628
Americas,1982,66.22884,630290920,7506.73708808
Americas,1987,68.09072,682753971,7793.40026112
Americas,1992,69.56836,739274104,8044.93440552
Americas,1997,71.15048,796900410,8889.30086256
Americas,2002,72.42204,849772762,9287.67710732
Americas,2007,73.60812,898871184,11003.03162536
Asia,1952,46.31439393939394,1395357351,5195.484004039394
Asia,1957,49.318544242424245,1562780599,5787.732939942424
Asia,1962,51.56322303030303,1696357182,5729.369624775758
Asia,1967,54.66364,1905662900,5971.1733736060605
Asia,1972,57.31926909090909,2150972248,8187.468699448485
Asia,1977,59.61055636363636,2384513556,7791.314019930303
Asia,1982,62.617939393939395,2610135582,7434.135157484849
Asia,1987,64.85118181818181,2871220762,7608.226507730303
Asia,1992,66.53721212121212,3133292191,8639.690247730303
Asia,1997,68.02051515151516,3383285500,9834.093295248485
Asia,2002,69.2338787878788,3601802203,10174.090396578787
Asia,2007,70.72848484848485,3811953827,12473.026870133333
Europe,1952,64.4085,418120846,5661.0574347599995
Europe,1957,66.70306666666667,437890351,6963.0128159333335
Europe,1962,68.53923333333333,460355155,8365.4868143
Europe,1967,69.7376,481178958,10143.823756533333
Europe,1972,70.77503333333334,500635059,12479.575246466666
Europe,1977,71.93776666666666,517164531,14283.979109599999
Europe,1982,72.8064,531266901,15617.896551233333
Europe,1987,73.64216666666667,543094160,17214.31072663333
Europe,1992,74.4401,558142797,17061.5680842
Europe,1997,75.50516666666667,568944148,19076.7818016
Europe,2002,76.7006,578223869,21711.732422433335
Europe,2007,77.6486,586098529,25054.481635933334
Oceania,1952,69.255,10686006,10298.08565
Oceania,1957,70.295,11941976,11598.522455
Oceania,1962,71.08500000000001,13283518,12696.452430000001
Oceania,1967,71.31,14600414,14495.021789999999
Oceania,1972,71.91,16106100,16417.33338
Oceania,1977,72.85499999999999,17239000,17283.957605
Oceania,1982,74.28999999999999,18394850,18554.70984
Oceania,1987,75.32,19574415,20448.040159999997
Oceania,1992,76.945,20919651,20894.045885
Oceania,1997,78.19,22241430,24024.175170000002
Oceania,2002,79.74000000000001,23454829,26938.77804
Oceania,2007,80.7195,24549947,29810.188275
