x,edad,sexo,p_originario
1,35,M,no
2,37,H,no
3,59,H,no
4,29,M,no
5,76,M,no
6,65,H,si
7,25,M,no
8,16,M,no
9,49,H,no
10,35,H,no
11,6,M,si
12,0,M,no
13,70,M,no
14,48,M,no
15,35,H,no
16,36,H,no
17,38,M,no
18,6,M,no
19,50,H,no
20,31,H,no
21,40,M,no
22,4,H,no
23,49,H,no
24,2,M,no
25,9,H,si
26,31,M,no
27,51,H,no
28,45,M,no
29,32,H,no
30,26,H,no
31,39,H,no
32,3,H,no
33,3,H,no
34,42,H,no
35,36,H,si
36,66,H,no
37,100,H,no
38,11,H,no
39,69,H,no
40,13,M,no
41,52,H,no
42,50,M,no
43,64,M,no
44,22,M,no
45,52,H,no
46,52,M,no
47,5,M,no
48,31,H,no
49,21,H,no
50,70,H,no
51,49,M,no
52,2,M,no
53,13,M,no
54,17,H,no
55,13,H,si
56,28,H,no
57,63,M,no
58,1,H,no
59,49,M,no
60,1,H,no
61,3,M,no
62,59,H,no
63,53,H,no
64,63,M,no
65,18,H,no
66,16,H,no
67,23,H,no
68,29,M,no
69,21,H,no
70,14,H,no
71,75,H,no
72,46,M,no
73,10,H,no
74,29,H,no
75,60,M,no
76,43,H,no
77,66,H,no
78,5,H,no
79,18,H,no
80,64,M,no
81,54,H,no
82,51,H,no
83,16,H,no
84,34,H,no
85,7,H,no
86,70,H,no
87,30,H,no
88,29,M,no
89,8,H,no
90,70,M,no
91,88,H,no
92,24,M,no
93,18,H,no
94,9,H,no
95,76,H,no
96,28,M,no
97,49,M,no
98,26,M,no
99,50,M,no
100,43,H,no
101,78,H,no
102,29,H,si
103,3,M,no
104,3,H,no
105,23,H,no
106,30,H,si
107,89,M,no
108,65,M,no
109,19,H,no
110,34,H,no
111,19,H,no
112,23,M,no
113,52,H,no
114,43,H,no
115,22,H,no
116,23,H,no
117,1,H,no
118,25,H,no
119,37,H,no
120,28,M,no
121,54,H,no
122,18,M,no
123,45,M,no
124,34,H,no
125,5,H,no
126,48,H,no
127,6,H,no
128,54,M,no
129,16,M,no
130,40,H,no
131,7,M,no
132,48,H,no
133,29,M,si
134,67,H,no
135,46,H,no
136,26,M,no
137,41,H,si
138,29,M,no
139,30,M,no
140,57,M,no
141,24,H,si
142,37,H,no
143,41,M,no
144,7,H,no
145,6,M,no
146,43,M,si
147,41,H,no
148,37,M,no
149,21,H,si
150,13,H,no
151,18,M,no
152,48,H,no
153,21,H,no
154,35,H,no
155,39,H,no
156,7,H,no
157,22,M,no
158,42,H,no
159,12,H,no
160,10,M,no
161,47,H,no
162,22,H,no
163,38,M,no
164,22,M,no
165,39,H,no
166,55,M,no
167,53,M,no
168,54,M,si
169,54,M,no
170,51,H,no
171,36,M,no
172,28,H,no
173,59,M,no
174,36,H,no
175,35,M,no
176,38,M,no
177,27,H,no
178,71,M,no
179,54,H,no
180,54,M,no
181,31,M,no
182,29,M,no
183,13,H,no
184,20,H,no
185,63,H,si
186,36,H,si
187,54,M,no
188,70,M,no
189,45,H,no
190,63,H,no
191,51,H,no
192,35,M,no
193,52,M,no
194,61,M,no
195,23,H,no
196,53,H,no
197,50,M,no
198,18,H,no
199,10,H,si
200,49,H,no
201,37,M,no
202,24,M,no
203,12,H,no
204,16,H,si
205,31,H,no
206,26,H,si
207,3,M,si
208,39,M,no
209,9,M,no
210,6,H,no
211,53,H,no
212,27,H,no
213,46,M,no
214,32,H,no
215,71,M,no
216,51,M,no
217,38,M,no
218,34,M,no
219,43,H,no
220,57,H,no
221,66,H,no
222,58,H,no
223,28,H,no
224,20,H,no
225,20,M,no
226,36,H,no
227,60,M,no
228,8,H,no
229,51,H,no
230,26,M,no
231,18,H,no
232,32,H,no
233,10,H,si
234,25,M,no
235,38,H,no
236,26,H,no
237,55,H,no
238,5,H,no
239,71,H,si
240,17,M,no
241,39,M,no
242,32,M,no
243,38,M,no
244,42,M,si
245,50,H,no
246,34,M,si
247,41,M,no
248,56,M,no
249,23,M,no
250,26,H,no
251,65,H,no
252,61,M,no
253,1,H,no
254,13,M,no
255,63,M,no
256,20,M,no
257,41,H,no
258,33,M,no
259,49,M,no
260,74,M,no
261,14,M,no
262,21,M,no
263,53,H,no
264,12,H,no
265,9,H,no
266,7,M,no
267,19,M,si
268,13,H,no
269,30,H,no
270,19,M,no
271,4,M,no
272,27,M,si
273,65,M,no
274,52,H,no
275,29,M,no
276,44,H,no
277,42,H,no
278,41,M,no
279,66,H,no
280,46,M,no
281,42,M,no
282,43,H,no
283,39,H,no
284,53,H,si
285,18,H,no
286,9,M,no
287,17,M,no
288,60,M,no
289,42,M,no
290,33,M,no
291,54,M,no
292,28,H,no
293,81,M,no
294,5,M,si
295,9,H,no
296,32,M,no
297,45,M,si
298,39,M,no
299,6,M,no
300,4,H,no
301,24,M,no
302,23,H,no
303,24,H,no
304,56,H,no
305,24,H,no
306,9,M,no
307,33,H,no
308,3,M,no
309,16,M,no
310,94,H,no
311,58,H,no
312,78,M,no
313,51,H,no
314,31,M,no
315,64,H,no
316,68,M,no
317,88,M,no
318,57,M,no
319,49,M,si
320,84,M,no
321,20,M,no
322,6,M,no
323,67,M,no
324,21,H,no
325,58,H,no
326,46,M,no
327,35,H,no
